time (s)	magX	magY	magZ
2438.271702	486.287537	217.772629	739.383972
2438.275036	482.371704	225.604324	742.014038
2438.278375	478.748077	232.559311	744.994751
2438.281704	474.598480	239.222076	746.923462
2438.285049	470.741058	246.761536	749.027466
2438.288367	466.065460	253.950317	750.488647
2438.291702	461.740479	261.840454	751.365295
2438.295036	456.831116	269.730560	752.417297
2438.298366	452.330811	277.971344	753.410889
2438.301701	447.596741	285.744568	753.703125
2438.305034	441.985992	293.576263	752.884888
2438.308384	436.199890	302.167725	752.300476
2438.311694	431.232025	309.999390	752.884888
2438.315028	425.212128	318.298645	751.365295
2438.318363	419.542969	326.071899	750.196350
2438.321699	414.282867	334.721802	748.618408
2438.325030	408.146118	342.787262	746.689697
2438.328363	401.950897	351.086517	744.644043
2438.331749	396.047913	359.327301	742.481628
2438.335028	390.028076	366.866730	739.442444
2438.338361	383.949738	374.464630	737.396790
2438.341694	377.579193	382.471649	734.123901
2438.345031	370.507294	389.426636	731.786072
2438.349275	357.824646	403.102875	725.883118
2438.352532	350.928101	409.882538	722.727051
2438.355862	343.914673	417.246674	719.687927
2438.359217	337.661011	423.091156	716.882568
2438.362609	330.296875	429.052582	714.369385
2438.365458	323.517242	435.189362	711.564026
2438.368787	316.562225	441.442993	709.459961
2438.372111	309.665680	446.527740	706.596130
2438.375446	302.769135	451.787842	704.258362
2438.378355	295.288116	456.872589	702.388062
2438.381700	288.391571	462.308014	699.991821
2438.385020	281.202820	466.516052	696.952698
2438.388357	273.838684	472.302185	695.374634
2438.391701	266.474579	476.744019	693.504395
2438.395021	259.285797	481.419647	691.283447
2438.398357	252.213898	485.277008	688.419678
2438.401691	244.908234	489.835785	686.374023
2438.405020	237.777908	493.576263	683.334900
2438.408355	230.180023	497.725891	681.172424
2438.411686	222.348328	501.583282	677.724182
2438.415018	215.451782	505.265289	674.217407
2438.418357	207.912323	508.538300	670.769165
2438.421688	200.255997	512.395691	666.327271
2438.425016	193.125656	515.551758	662.177673
2438.428355	184.767960	518.123352	658.729431
2438.431683	177.871414	521.746948	653.586243
2438.435019	170.507309	524.552307	648.326172
2438.438352	163.084747	527.766846	643.533630
2438.441683	156.012863	530.864441	638.215088
2438.445025	149.116302	532.676208	633.539490
2438.449271	135.206314	537.644104	620.973755
2438.452529	128.485107	539.981934	614.369385
2438.455860	121.763878	542.436646	607.648193
2438.459203	115.627113	543.839355	601.686768
2438.462120	108.964348	545.125122	-910.528381
2438.465455	102.476906	481.887177	-1166.577393
2438.468808	95.288132	543.956177	579.009949
2438.472128	89.735825	548.631836	573.340759
2438.475027	84.008179	549.917603	567.028687
2438.478347	77.520744	549.976074	560.482788
2438.481688	71.676208	550.794312	554.638245
2438.485012	65.773232	551.554077	548.618347
2438.488347	60.337814	551.320312	541.838684
2438.491680	53.791935	551.729431	536.929260
2438.495015	48.298073	552.255432	530.324951
2438.498375	42.161308	551.086548	525.006409
2438.501678	37.076565	551.028076	519.629456
2438.505012	31.465809	550.852722	515.070740
2438.508345	25.855055	550.385193	509.635315
2438.511676	20.361191	549.683838	505.953247
2438.515041	13.289304	548.748718	500.926941
2438.518344	7.620105	547.930481	497.595581
2438.521676	2.476913	546.703125	493.212158
2438.525013	-2.958505	546.060242	489.471680
2438.528347	-8.569257	545.358887	484.971375
2438.531676	-14.004676	544.014648	480.646423
2438.535008	-19.089420	542.553467	477.081238
2438.538344	-23.998829	541.092346	472.639404
2438.541679	-29.726475	539.280579	469.308044
2438.545924	-39.895969	536.299866	461.067261
2438.549222	-44.980709	534.312683	456.859131
2438.552519	-50.007015	532.617798	453.118652
2438.555857	-54.331966	530.221497	448.735229
2438.558759	-58.949154	528.468201	443.475220
2438.562112	-63.274113	526.831665	438.857971
2438.565451	-66.897720	524.260132	434.182343
2438.568763	-70.930458	522.214539	429.097595
2438.571676	-75.313858	519.701355	424.947968
2438.575006	-79.814148	518.240234	419.629486
2438.578333	-82.619522	515.668640	414.194061
2438.581705	-86.243141	512.980164	408.524841
2438.585003	-89.691406	510.642303	402.212769
2438.588335	-92.730568	507.603180	396.952667
2438.591672	-95.886620	505.732880	391.692596
2438.595001	-98.399765	502.869049	385.848053
2438.598351	-102.081818	500.823486	380.178864
2438.601670	-105.413208	498.076569	375.386322
2438.605003	-107.517242	495.095856	370.535370
2438.608337	-109.971947	492.407349	364.983093
2438.611670	-112.543549	489.952637	359.255402
2438.615008	-115.115143	487.439514	354.696686
2438.618343	-117.277618	484.575684	350.663940
2438.621664	-119.673889	481.887177	345.929871
2438.625000	-122.771484	479.140259	341.780273
2438.628329	-124.817078	475.984222	338.098175
2438.631706	-126.979553	473.529510	334.065491
2438.635031	-129.726486	470.490356	331.201660
2438.638330	-131.888962	467.217438	327.052002
2438.641664	-134.635895	464.821136	324.772675
2438.645898	-140.129761	460.028625	318.168335
2438.649228	-143.110458	456.814117	316.122742
2438.652502	-146.091171	453.774963	313.901825
2438.655838	-148.312103	451.378723	311.739349
2438.658756	-151.059036	448.748657	308.817078
2438.662099	-153.747528	446.118622	307.297485
2438.665474	-157.020462	443.956177	304.433685
2438.668755	-159.241394	440.916992	302.738770
2438.672081	-162.338989	438.228485	300.926941
2438.674997	-164.852142	434.897125	298.530701
2438.678325	-167.599060	432.500885	296.660431
2438.681665	-169.878433	429.637024	294.147308
2438.684997	-172.099365	427.416107	291.751038
2438.688352	-174.086502	424.493866	289.880768
2438.691661	-176.307419	421.513153	287.016968
2438.694997	-178.177673	418.532440	284.153137
2438.698324	-180.924606	416.311493	282.107544
2438.701660	-181.859726	413.213898	279.886627
2438.704992	-183.846878	410.876129	277.139709
2438.708328	-185.834015	407.836945	273.925201
2438.711657	-187.645828	404.914642	272.113403
2438.714991	-188.113388	402.635315	268.665131
2438.718327	-189.691406	400.706604	265.859741
2438.721656	-190.977203	398.076569	263.229706
2438.724991	-192.204559	395.563385	260.950317
2438.728323	-193.081238	392.991821	257.911163
2438.731653	-194.542374	390.887756	255.631805
2438.734990	-194.600830	388.199280	252.826416
2438.738322	-196.354187	386.329041	250.722412
2438.741666	-197.055511	384.108124	247.624786
2438.744991	-197.932205	381.828735	246.280548
2438.748321	-198.867325	379.900055	243.533600
2438.751655	-199.334900	377.503784	241.546478
2438.756267	-201.380478	372.419067	237.747528
2438.759227	-202.490936	370.899475	236.286407
2438.762573	-203.309189	368.737000	233.714783
2438.765898	-204.594986	366.574524	232.370575
2438.769157	-206.056107	364.528931	231.493866
2438.772070	-207.400360	362.074219	230.266510
2438.775405	-208.744614	359.736389	228.337830
2438.778764	-210.731735	357.983063	228.396271
2438.782088	-212.251312	356.054352	227.753387
2438.784982	-214.121567	353.833435	226.467590
2438.788316	-215.465820	352.489197	226.058441
2438.791647	-217.511398	350.268250	225.357117
2438.794984	-218.680298	348.222656	225.590881
2438.798316	-220.842773	346.001740	224.831116
2438.801649	-222.362366	343.663940	224.129761
2438.804986	-224.174179	341.852112	223.779083
2438.808314	-225.985962	340.157196	223.019318
2438.811646	-228.031570	338.403839	222.960846
2438.814983	-229.843369	336.124481	222.201050
2438.818311	-231.246048	333.611328	222.142609
2438.821643	-232.882538	331.565735	222.259521
2438.824982	-235.045013	329.637054	221.733490
2438.828313	-236.739929	327.825256	221.558167
2438.831648	-237.616592	325.604340	220.681458
2438.834974	-238.902405	324.610748	220.272369
2438.838315	-240.480438	321.746918	220.038574
2438.841672	-241.824646	320.753357	219.278778
2438.844976	-242.759796	318.941559	219.161926
2438.848313	-243.636475	317.714203	218.226776
2438.851642	-245.214508	315.668610	218.109894
2438.854979	-245.915863	314.265930	217.174774
2438.858311	-246.850983	312.571014	216.590302
2438.862503	-249.422546	310.876099	215.655182
2438.865888	-249.890137	309.064270	214.836945
2438.869148	-250.883698	307.018707	215.246063
2438.872492	-252.344818	306.434235	214.135590
2438.875395	-252.695496	304.563995	214.252502
2438.878733	-253.572174	304.096436	213.726501
2438.882085	-254.857971	303.395081	212.908264
2438.885394	-255.968445	301.583282	213.375824
2438.888308	-257.078888	300.355927	213.375824
2438.891638	-257.897156	299.829926	213.142029
2438.894986	-259.182953	298.135010	213.726501
2438.898302	-260.293396	296.849213	213.726501
2438.901638	-262.338989	295.621857	213.726501
2438.904970	-263.215668	294.452942	214.369385
2438.908305	-265.261261	293.693176	215.012299
2438.911654	-267.014618	291.647552	215.538269
2438.914971	-268.066620	290.595551	216.005859
2438.918305	-270.696686	288.959076	217.350098
2438.921635	-272.099365	288.140839	218.343658
2438.924966	-274.203369	285.803040	219.045013
2438.928309	-276.073669	284.809448	219.804810
2438.931638	-278.820587	283.056091	221.441254
2438.934967	-280.573914	281.302734	222.960846
2438.938303	-283.320862	280.250732	223.779083
2438.941632	-285.366455	278.555817	224.363525
2438.944966	-287.879608	276.334900	226.526031
2438.948306	-289.749847	275.107544	227.519592
2438.951635	-292.087646	273.412628	229.272949
2438.954967	-294.074799	271.308594	231.084747
2438.958302	-296.471069	269.789001	232.078339
2438.962980	-302.140259	266.691406	235.000610
2438.965904	-303.952087	265.171814	236.695496
2438.969141	-305.647003	264.178253	238.098175
2438.972472	-307.458801	262.424896	238.974884
2438.975827	-309.153717	261.080658	240.903595
2438.978723	-311.082428	260.262421	242.072479
2438.982082	-313.244904	258.918182	243.592072
2438.985380	-314.589142	257.807709	245.520752
2438.988715	-316.693176	256.989502	246.631226
2438.991631	-318.271179	255.703674	247.917023
2438.994960	-319.966125	255.119232	249.787292
2438.998298	-322.362366	253.482758	250.137939
2439.001626	-323.472809	252.372284	252.241974
2439.004964	-325.343079	251.495605	253.352448
2439.008297	-327.154877	250.911163	255.748688
2439.011625	-328.674469	250.268250	257.618958
2439.014964	-330.486267	249.683807	258.846313
2439.018306	-332.298065	248.281128	261.242554
2439.021627	-334.343658	247.813568	262.879028
2439.024957	-336.389252	246.878448	264.340149
2439.028292	-337.908813	246.001740	267.203979
2439.031622	-340.071320	245.008194	269.015778
2439.034982	-342.701355	243.254807	271.821167
2439.038294	-345.974274	242.495026	273.925201
2439.041626	-348.195190	241.267670	276.263031
2439.044957	-350.708344	239.046753	279.594391
2439.048293	-353.163055	237.351837	282.399780
2439.051621	-355.091766	235.598480	284.620697
2439.054959	-358.014008	233.377563	287.952087
2439.058289	-360.760956	231.741074	291.049683
2439.062490	-366.956177	227.416122	298.296936
2439.065881	-369.936890	225.604324	300.810059
2439.069206	-372.216248	222.915833	303.206329
2439.072491	-376.015198	220.052017	307.180603
2439.075382	-379.171234	217.305069	310.219757
2439.078711	-382.210419	214.616592	314.194061
2439.082036	-384.606659	212.337219	317.525421
2439.085403	-388.054962	209.531845	321.382843
2439.088296	-391.503204	207.252487	324.305115
2439.091618	-393.665710	203.745758	327.461151
2439.094954	-396.587952	200.881943	330.967865
2439.098285	-399.685577	198.135010	334.591492
2439.101619	-402.490967	195.388062	338.215118
2439.104955	-405.588531	192.641144	341.721802
2439.108283	-408.919922	190.011108	346.338989
2439.111621	-411.374634	187.614838	350.021057
2439.114953	-414.472260	185.277023	354.112244
2439.118285	-416.693176	182.997665	357.443604
2439.121613	-419.264740	181.185852	361.710114
2439.124969	-421.953247	178.731155	366.093536
2439.128284	-424.641724	176.451782	370.067841
2439.131614	-427.038025	174.406189	373.749878
2439.134950	-429.551147	171.776154	377.665710
2439.138281	-432.531830	169.555237	382.049133
2439.141616	-434.226776	167.217422	387.367615
2439.144946	-437.265930	165.288727	391.926392
2439.148281	-440.188171	162.600235	396.076019
2439.151611	-441.824677	159.911743	401.277649
2439.154946	-444.337799	157.983047	406.128601
2439.158302	-446.909393	154.943893	412.265350
2439.161631	-449.188751	152.664520	417.350098
2439.166233	-454.857971	146.469315	427.461151
2439.169164	-456.786682	142.202805	432.487427
2439.172538	-460.001190	139.222092	438.215118
2439.175870	-462.338989	134.721802	443.241394
