time (s)	coil I (A)	last det (V)	int current (uC)
4832.271827	1.046360	0.533273	462.491089
4832.272741	1.465283	0.533273	1801.759888
4832.273639	1.451016	0.533273	3104.771973
4832.274599	1.413820	0.533273	4462.038574
4832.275511	1.377990	0.533273	5718.765137
4832.276420	0.988865	0.533273	6617.643066
4832.277368	0.113328	0.533273	6725.077637
4832.278275	0.091564	0.533273	6808.125977
4832.279175	0.091681	0.533273	6890.638672
4832.280063	0.091630	0.533273	6972.005859
4832.280988	0.091692	0.533273	7056.820801
4832.281898	0.091648	0.533273	7140.220215
4832.282796	0.091630	0.533273	7222.503418
4832.283713	0.091685	0.533273	7306.578125
4832.284629	0.091703	0.533273	7390.578125
4832.285534	0.091666	0.533273	7473.536133
4833.369545	1.031920	0.530957	450.949127
4833.370484	1.464639	0.530957	1826.244873
4833.371399	1.450009	0.530957	3153.002930
4833.372299	1.414830	0.530957	4426.350098
4833.373194	1.379377	0.530957	5660.892578
4833.374162	0.971550	0.530957	6601.353516
4833.375058	0.113104	0.530957	6702.694824
4833.375961	0.091505	0.530957	6785.323730
4833.376857	0.091630	0.530957	6867.423828
4833.377796	0.091652	0.530957	6953.484863
4833.378704	0.091505	0.530957	7036.571289
4833.379596	0.091641	0.530957	7118.314941
4833.380524	0.091633	0.530957	7203.350586
4833.381420	0.091644	0.530957	7285.463867
4833.382317	0.091578	0.530957	7367.609863
4833.383208	0.091619	0.530957	7449.242187
4834.380752	1.041830	0.629240	461.530609
4834.381732	1.466895	0.629240	1899.087280
4834.382640	1.448350	0.629240	3214.188721
4834.383538	1.413116	0.629240	4483.166992
4834.384497	1.376371	0.629240	5803.106445
4834.385416	0.881210	0.629240	6612.937988
4834.386336	0.103147	0.629240	6707.833008
4834.387247	0.091523	0.629240	6791.210937
4834.388198	0.091619	0.629240	6878.340332
4834.389098	0.091578	0.629240	6960.760742
4834.389986	0.091619	0.629240	7042.118164
4834.390914	0.091696	0.629240	7127.211426
4834.391818	0.091622	0.629240	7210.038086
4834.392718	0.091648	0.629240	7292.521484
4834.393607	0.091611	0.629240	7373.963867
4834.394552	0.091739	0.629240	7460.657715
4835.442144	1.039812	0.428948	472.074646
4835.443049	1.465258	0.428948	1798.132812
4835.443940	1.450909	0.428948	3090.893066
